<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210503,091000,59.3000000,59.3000000,59.2700000,59.2700000,983
20210503,092000,59.2300000,59.2300000,59.0800000,59.0800000,460
20210503,094000,59.1100000,59.1100000,58.9400000,58.9400000,90
20210503,095000,59.1200000,59.1200000,59.1200000,59.1200000,5
20210503,100000,59.1200000,59.1200000,59.1200000,59.1200000,30
20210503,102000,59.1200000,59.1200000,59.1200000,59.1200000,20
20210503,103000,59.2000000,59.2000000,59.1800000,59.1800000,520
20210503,104000,59.2600000,59.2700000,59.2400000,59.2400000,128
20210503,105000,59.3000000,59.3000000,59.3000000,59.3000000,100
20210503,110000,59.4000000,59.4000000,59.4000000,59.4000000,100
20210503,112000,59.4100000,59.4100000,59.4000000,59.4000000,230
20210503,113000,59.3500000,59.4200000,59.3500000,59.4200000,265
20210503,114000,59.2500000,59.2500000,59.2500000,59.2500000,200
20210503,115000,59.1800000,59.1800000,59.1800000,59.1800000,50
20210503,121000,59.0300000,59.0300000,58.9900000,58.9900000,362
20210503,122000,59.0500000,59.0500000,59.0000000,59.0000000,50
20210503,123000,58.8400000,58.8400000,58.8400000,58.8400000,150
20210503,124000,58.8100000,58.8100000,58.8100000,58.8100000,100
20210503,130000,58.8600000,58.8600000,58.8600000,58.8600000,160
20210503,131000,58.7800000,58.7800000,58.7800000,58.7800000,200
20210503,132000,58.8300000,58.8300000,58.8000000,58.8000000,181
20210503,133000,58.9000000,58.9000000,58.9000000,58.9000000,20
20210503,140000,59.0300000,59.0300000,59.0300000,59.0300000,170
20210503,151000,59.2600000,59.2600000,59.2600000,59.2600000,90
20210503,153000,59.3400000,59.3400000,59.3000000,59.3000000,138
20210503,154000,59.2700000,59.2700000,59.2700000,59.2700000,20
20210503,160000,59.2200000,59.2200000,59.2200000,59.2200000,17
20210503,161000,59.3000000,59.3000000,59.3000000,59.3000000,45
20210503,162000,59.2500000,59.2500000,59.2500000,59.2500000,500
20210503,165000,59.3300000,59.3300000,59.3300000,59.3300000,39
20210503,170000,59.3100000,59.3100000,59.3100000,59.3100000,6
20210503,171000,59.3500000,59.3500000,59.3500000,59.3500000,433
20210503,172000,59.3900000,59.4300000,59.3900000,59.4300000,55
20210503,175000,59.4500000,59.4600000,59.4500000,59.4600000,337
20210503,181000,59.4100000,59.4100000,59.4100000,59.4100000,15
20210503,191000,59.3100000,59.3100000,58.6100000,59.0200000,717
20210503,192000,59.1500000,59.1500000,59.1500000,59.1500000,90
20210503,193000,59.1700000,59.1700000,59.1700000,59.1700000,50
20210503,204000,59.0200000,59.0200000,58.8700000,58.8700000,100
20210503,210000,59.1300000,59.1400000,59.1300000,59.1400000,50
20210503,214000,59.1900000,59.1900000,59.1900000,59.1900000,90
20210503,215000,58.9900000,59.2700000,58.9900000,59.2700000,42
20210503,225000,59.2100000,59.2100000,59.2100000,59.2100000,90
20210503,231000,59.1500000,59.1500000,59.1500000,59.1500000,1
20210503,233000,59.1500000,59.1500000,59.1500000,59.1500000,1
20210504,091000,59.3200000,59.3200000,59.3200000,59.3200000,49
20210504,094000,59.0500000,59.0500000,59.0500000,59.0500000,15
20210504,101000,59.4200000,59.4200000,59.4200000,59.4200000,200
20210504,110000,59.3000000,59.3000000,59.2000000,59.2000000,300
20210504,111000,59.0500000,59.0500000,59.0500000,59.0500000,65
20210504,112000,59.0900000,59.0900000,59.0900000,59.0900000,1180
20210504,113000,59.1200000,59.1200000,59.1200000,59.1200000,4
20210504,114000,59.0000000,59.0000000,58.9600000,58.9600000,40
20210504,115000,59.0200000,59.0200000,59.0200000,59.0200000,17
20210504,120000,59.0300000,59.0300000,59.0100000,59.0100000,160
20210504,121000,58.9700000,58.9700000,58.9700000,58.9700000,90
20210504,122000,59.0200000,59.0200000,59.0200000,59.0200000,169
20210504,123000,58.9000000,58.9000000,58.9000000,58.9000000,350
20210504,140000,59.3900000,59.3900000,59.3900000,59.3900000,300
20210504,141000,59.4000000,59.4000000,59.4000000,59.4000000,17
20210504,142000,59.4500000,59.4500000,59.4500000,59.4500000,20
20210504,143000,59.5100000,59.5100000,59.3900000,59.3900000,53
20210504,144000,59.4600000,59.4600000,59.4600000,59.4600000,18
20210504,151000,59.0800000,59.0800000,59.0800000,59.0800000,320
20210504,152000,58.9100000,58.9600000,58.9100000,58.9600000,175
20210504,153000,58.9500000,58.9900000,58.9500000,58.9900000,389
20210504,154000,59.0300000,59.0300000,59.0200000,59.0200000,70
20210504,155000,58.9900000,58.9900000,58.9900000,58.9900000,42
20210504,160000,58.9300000,58.9300000,58.9300000,58.9300000,3
20210504,161000,58.8900000,58.8900000,58.8900000,58.8900000,75
20210504,162000,58.9000000,58.9000000,58.9000000,58.9000000,38
20210504,163000,58.8700000,58.8700000,58.8700000,58.8700000,100
20210504,164000,58.8300000,58.8300000,58.8300000,58.8300000,18
20210504,172000,58.8300000,58.8300000,58.8300000,58.8300000,308
20210504,174000,58.8300000,58.8300000,58.8300000,58.8300000,100
20210504,175000,58.8800000,58.8800000,58.7400000,58.7400000,80
20210504,180000,58.7500000,58.7500000,58.7500000,58.7500000,38
20210504,181000,58.9300000,58.9300000,58.9300000,58.9300000,60
20210504,182000,58.9700000,58.9700000,58.8900000,58.8900000,130
20210504,191000,59.1700000,59.1700000,59.1700000,59.1700000,20
20210504,194000,59.0900000,59.0900000,58.6000000,58.6700000,576
20210504,201000,58.5100000,58.5100000,58.5100000,58.5100000,20
20210504,203000,58.7900000,58.7900000,58.7900000,58.7900000,20
20210504,204000,58.7800000,58.7800000,58.5300000,58.5300000,55
20210504,205000,58.8000000,58.8000000,58.8000000,58.8000000,11
20210504,214000,58.6000000,58.6000000,58.5200000,58.5200000,25
20210504,215000,58.8400000,58.8400000,58.8400000,58.8400000,90
20210504,224000,58.7500000,59.0500000,58.7500000,59.0500000,83
20210504,231000,59.0200000,59.0200000,59.0200000,59.0200000,1
20210504,233000,59.0200000,59.0200000,59.0200000,59.0200000,1
20210505,091000,59.2100000,59.3400000,59.2100000,59.3400000,261
20210505,092000,59.3200000,59.3200000,59.3200000,59.3200000,4
20210505,095000,59.0500000,59.0500000,58.7500000,58.9200000,445
20210505,102000,59.0100000,59.0100000,58.8800000,58.8800000,27
20210505,104000,58.8500000,58.8500000,58.8500000,58.8500000,160
20210505,105000,58.9400000,58.9400000,58.9400000,58.9400000,100
20210505,110000,58.8400000,58.8400000,58.8400000,58.8400000,60
20210505,111000,58.9400000,58.9400000,58.9400000,58.9400000,308
20210505,112000,59.1000000,59.1000000,59.1000000,59.1000000,200
20210505,113000,58.9900000,58.9900000,58.9900000,58.9900000,60
20210505,114000,59.0700000,59.0700000,59.0700000,59.0700000,10
20210505,115000,59.0900000,59.0900000,59.0900000,59.0900000,30
20210505,120000,59.1200000,59.1200000,59.1000000,59.1000000,50
20210505,121000,59.0400000,59.0400000,59.0400000,59.0400000,25
20210505,122000,59.0200000,59.0200000,59.0000000,59.0000000,170
20210505,123000,58.9300000,58.9300000,58.9300000,58.9300000,250
20210505,124000,58.9900000,58.9900000,58.9600000,58.9600000,102
20210505,130000,58.8400000,58.8500000,58.8400000,58.8500000,116
20210505,135000,58.9500000,58.9500000,58.9500000,58.9500000,20
20210505,141000,58.8600000,58.8600000,58.8600000,58.8600000,40
20210505,143000,58.8900000,58.8900000,58.8900000,58.8900000,200
20210505,144000,58.9200000,58.9200000,58.9200000,58.9200000,535
20210505,155000,58.9400000,58.9400000,58.9400000,58.9400000,100
20210505,164000,59.0600000,59.0600000,59.0600000,59.0600000,565
20210505,165000,59.0100000,59.0100000,59.0100000,59.0100000,200
20210505,170000,58.9800000,58.9800000,58.9200000,58.9200000,311
20210505,172000,59.1200000,59.1200000,59.1200000,59.1200000,20
20210505,174000,59.0800000,59.0800000,59.0800000,59.0800000,100
20210505,191000,59.1200000,59.1800000,59.1200000,59.1800000,180
20210505,202000,59.2300000,59.2300000,59.2300000,59.2300000,62
20210505,204000,59.1000000,59.1000000,59.1000000,59.1000000,90
20210505,205000,59.0900000,59.0900000,59.0900000,59.0900000,10
20210505,221000,59.0200000,59.0200000,59.0200000,59.0200000,50
20210505,223000,59.0900000,59.0900000,59.0900000,59.0900000,5
20210505,233000,59.0300000,59.0300000,59.0300000,59.0300000,1
20210506,091000,59.0900000,59.4400000,59.0900000,59.2800000,555
20210506,094000,59.4300000,59.4500000,59.4300000,59.4400000,307
20210506,095000,59.5300000,59.5300000,59.5300000,59.5300000,16
20210506,101000,59.3200000,59.5000000,59.2900000,59.5000000,396
20210506,103000,59.4900000,59.4900000,59.4900000,59.4900000,100
20210506,104000,59.4100000,59.4100000,59.4000000,59.4000000,436
20210506,105000,59.4300000,59.4300000,59.4300000,59.4300000,63
20210506,110000,59.5000000,59.5600000,59.4100000,59.4100000,207
20210506,113000,59.3300000,59.3300000,59.3000000,59.3000000,60
20210506,114000,59.4000000,59.4000000,59.4000000,59.4000000,250
20210506,120000,59.3200000,59.3200000,59.3100000,59.3100000,74
20210506,122000,59.3800000,59.3900000,59.3800000,59.3900000,42
20210506,123000,59.1500000,59.1500000,59.1500000,59.1500000,150
20210506,124000,59.2000000,59.2000000,59.0900000,59.1400000,400
20210506,125000,59.1000000,59.1000000,59.1000000,59.1000000,100
20210506,130000,59.0500000,59.0500000,59.0500000,59.0500000,10
20210506,132000,59.1900000,59.1900000,59.1200000,59.1300000,124
20210506,133000,59.1900000,59.1900000,59.1900000,59.1900000,105
20210506,134000,59.1200000,59.1800000,59.1200000,59.1800000,38
20210506,135000,59.1300000,59.1300000,59.1300000,59.1300000,300
20210506,140000,59.1100000,59.1100000,59.0900000,59.0900000,185
20210506,141000,59.1300000,59.1600000,59.1300000,59.1600000,124
20210506,143000,59.1300000,59.1300000,59.0900000,59.0900000,284
20210506,151000,59.0800000,59.0800000,59.0800000,59.0800000,41
20210506,152000,59.0700000,59.0700000,58.9500000,58.9500000,416
20210506,155000,58.9900000,58.9900000,58.8800000,58.8800000,479
20210506,160000,58.8300000,58.8300000,58.8000000,58.8000000,195
20210506,162000,58.7800000,58.8200000,58.7800000,58.8200000,75
20210506,163000,58.8100000,58.8100000,58.8100000,58.8100000,8
20210506,164000,58.7800000,58.7800000,58.7800000,58.7800000,1
20210506,170000,58.7600000,58.7600000,58.7100000,58.7100000,180
20210506,171000,58.7600000,58.7600000,58.7000000,58.7000000,530
20210506,173000,58.7000000,58.7100000,58.7000000,58.7100000,312
20210506,174000,58.7100000,58.7100000,58.6500000,58.6500000,220
20210506,175000,58.6100000,58.6100000,58.6100000,58.6100000,20
20210506,180000,58.7000000,58.7000000,58.7000000,58.7000000,1
20210506,182000,58.7200000,58.7200000,58.7200000,58.7200000,350
20210506,183000,58.6000000,58.7200000,58.6000000,58.7200000,167
20210506,184000,58.9200000,58.9200000,58.9200000,58.9200000,50
20210506,185000,58.9700000,58.9700000,58.9700000,58.9700000,1
20210506,190000,58.9300000,58.9300000,58.9200000,58.9200000,140
20210506,191000,58.9200000,58.9200000,58.9200000,58.9200000,33
20210506,193000,58.9300000,58.9300000,58.9300000,58.9300000,290
20210506,195000,58.9100000,58.9100000,58.9100000,58.9100000,30
20210506,201000,58.9000000,58.9000000,58.5200000,58.5200000,700
20210506,202000,58.5100000,58.8900000,58.5100000,58.8900000,290
20210506,204000,58.8200000,58.8200000,58.8200000,58.8200000,20
20210506,205000,58.8200000,58.8200000,58.8200000,58.8200000,10
20210506,214000,58.9100000,58.9100000,58.9100000,58.9100000,35
20210506,220000,58.9200000,58.9200000,58.9200000,58.9200000,10
20210506,221000,58.8000000,58.8000000,58.8000000,58.8000000,10
20210506,224000,58.8600000,58.8600000,58.8600000,58.8600000,90
20210506,225000,58.9300000,58.9300000,58.8600000,58.8600000,120
20210506,230000,58.9300000,58.9300000,58.9300000,58.9300000,30
20210506,231000,59.0600000,59.0600000,59.0600000,59.0600000,1
20210506,233000,59.0600000,59.0600000,59.0600000,59.0600000,1
20210507,091000,59.1800000,59.1800000,59.1600000,59.1600000,100
20210507,095000,59.1800000,59.1800000,59.0300000,59.0300000,31
20210507,100000,59.0100000,59.1800000,59.0100000,59.1800000,69
20210507,101000,59.2100000,59.2100000,59.2100000,59.2100000,100
20210507,103000,59.0300000,59.0300000,59.0300000,59.0300000,50
20210507,104000,59.0300000,59.0300000,59.0300000,59.0300000,595
20210507,112000,58.7900000,58.7900000,58.7900000,58.7900000,38
20210507,113000,58.8300000,58.9300000,58.7600000,58.9300000,202
20210507,115000,58.9300000,58.9300000,58.9300000,58.9300000,200
20210507,120000,58.8700000,58.8700000,58.8700000,58.8700000,440
20210507,121000,58.9200000,58.9200000,58.9200000,58.9200000,12
20210507,123000,58.8300000,58.8300000,58.8300000,58.8300000,230
20210507,130000,58.9900000,59.0200000,58.9900000,59.0200000,70
20210507,132000,58.9100000,58.9100000,58.9100000,58.9100000,180
20210507,133000,59.0400000,59.0400000,59.0400000,59.0400000,20
20210507,135000,58.9600000,59.0300000,58.9600000,59.0300000,115
20210507,140000,59.1000000,59.1100000,59.1000000,59.1100000,95
20210507,141000,59.2100000,59.2100000,59.1500000,59.1700000,1844
20210507,144000,59.1900000,59.2000000,59.1900000,59.2000000,652
20210507,151000,59.1700000,59.2100000,59.1100000,59.2100000,1202
20210507,152000,59.1800000,59.2200000,59.1800000,59.2200000,350
20210507,153000,59.1700000,59.1700000,59.1700000,59.1700000,80
20210507,154000,59.0700000,59.0700000,59.0700000,59.0700000,85
20210507,155000,59.0000000,59.0000000,59.0000000,59.0000000,300
20210507,160000,59.1200000,59.1200000,59.1200000,59.1200000,500
20210507,161000,59.0800000,59.0800000,58.9900000,58.9900000,244
20210507,162000,58.9600000,58.9600000,58.9600000,58.9600000,110
20210507,164000,59.0200000,59.1800000,59.0200000,59.1800000,370
20210507,165000,59.0900000,59.0900000,59.0900000,59.0900000,41
20210507,171000,58.9800000,58.9800000,58.9800000,58.9800000,100
20210507,172000,59.1300000,59.1300000,59.1300000,59.1300000,56
20210507,174000,59.2200000,59.2200000,59.2200000,59.2200000,16
20210507,181000,59.1400000,59.1400000,59.0500000,59.0500000,105
20210507,183000,59.1900000,59.1900000,59.1900000,59.1900000,20
20210507,190000,59.2500000,59.2500000,59.2400000,59.2400000,59
20210507,195000,59.1400000,59.1400000,59.1400000,59.1400000,55
20210507,202000,59.1500000,59.1500000,59.1500000,59.1500000,10
20210507,213000,59.1500000,59.1500000,59.1500000,59.1500000,90
20210507,222000,59.1400000,59.1400000,59.1400000,59.1400000,14
20210507,224000,59.0600000,59.0600000,59.0600000,59.0600000,40
20210507,231000,59.1000000,59.1000000,59.1000000,59.1000000,1
20210507,233000,59.1000000,59.1000000,59.1000000,59.1000000,1
20210510,091000,58.1000000,58.1000000,58.1000000,58.1000000,492
20210510,092000,58.1000000,58.1000000,57.8000000,57.8000000,182
20210510,093000,57.8000000,57.8000000,57.8000000,57.8000000,115
20210510,094000,57.8000000,57.8000000,57.7000000,57.7000000,202
20210510,095000,58.0000000,58.0800000,57.8000000,57.8000000,349
20210510,100000,57.7000000,57.9000000,57.6500000,57.9000000,230
20210510,101000,57.2800000,57.4500000,57.2700000,57.2700000,1080
20210510,102000,57.2900000,57.2900000,57.2200000,57.2500000,74
20210510,103000,57.1500000,57.1500000,57.1000000,57.1000000,1112
20210510,104000,57.1500000,57.1500000,57.1500000,57.1500000,130
20210510,105000,57.1300000,57.1500000,57.1000000,57.1500000,143
20210510,110000,57.1200000,57.1200000,56.9700000,56.9700000,103
20210510,111000,57.0500000,57.1000000,57.0500000,57.1000000,221
20210510,112000,57.1500000,57.1500000,56.9600000,56.9600000,379
20210510,113000,57.0000000,57.0400000,57.0000000,57.0400000,140
20210510,114000,57.0400000,57.0400000,56.9800000,56.9800000,205
20210510,115000,56.9700000,57.0000000,56.9500000,57.0000000,470
20210510,120000,57.0000000,57.0000000,56.9700000,56.9700000,347
20210510,121000,56.9200000,56.9200000,56.8000000,56.8000000,1105
20210510,122000,56.8700000,56.8700000,56.8700000,56.8700000,251
20210510,123000,56.8000000,56.8000000,56.7700000,56.8000000,705
20210510,124000,56.7900000,56.7900000,56.7900000,56.7900000,92
20210510,125000,56.7400000,56.7900000,56.7400000,56.7900000,150
20210510,130000,56.7300000,56.7400000,56.7300000,56.7300000,236
20210510,131000,56.7600000,56.7600000,56.7400000,56.7500000,170
20210510,132000,56.7400000,56.7500000,56.7400000,56.7500000,390
20210510,133000,56.8200000,56.8200000,56.8200000,56.8200000,10
20210510,134000,56.6300000,56.6300000,56.5600000,56.5600000,481
20210510,135000,56.6900000,56.6900000,56.6700000,56.6700000,676
20210510,140000,56.6300000,56.6300000,56.6300000,56.6300000,30
20210510,141000,56.6400000,56.6400000,56.6400000,56.6400000,52
20210510,142000,56.7500000,56.7500000,56.7400000,56.7500000,635
20210510,144000,56.8500000,56.8500000,56.8500000,56.8500000,88
20210510,150000,56.7700000,56.7700000,56.7400000,56.7500000,1840
20210510,151000,56.8100000,56.8100000,56.8100000,56.8100000,50
20210510,152000,56.8800000,56.9100000,56.8800000,56.9100000,50
20210510,153000,56.8500000,56.8600000,56.8500000,56.8600000,562
20210510,154000,56.8600000,56.8600000,56.8600000,56.8600000,8
20210510,155000,56.8800000,56.9300000,56.8800000,56.8900000,235
20210510,160000,56.8600000,56.8600000,56.7500000,56.7500000,200
20210510,161000,56.7800000,56.7800000,56.7500000,56.7500000,350
20210510,162000,56.7800000,56.8100000,56.7800000,56.8100000,1000
20210510,164000,56.8400000,56.8400000,56.8000000,56.8000000,201
20210510,165000,56.7800000,56.7800000,56.7800000,56.7800000,5
20210510,170000,56.8400000,56.8400000,56.8400000,56.8400000,87
20210510,171000,56.8500000,56.8900000,56.8500000,56.8900000,408
20210510,172000,56.8700000,56.8700000,56.8700000,56.8700000,10
20210510,173000,56.9300000,56.9300000,56.9000000,56.9000000,55
20210510,174000,57.0000000,57.0200000,57.0000000,57.0200000,254
20210510,175000,57.0000000,57.1900000,57.0000000,57.1100000,264
20210510,180000,57.1700000,57.1700000,57.1700000,57.1700000,352
20210510,181000,57.1200000,57.1300000,57.1200000,57.1300000,150
20210510,182000,57.3100000,57.3100000,57.3100000,57.3100000,20
20210510,184000,57.6600000,57.6600000,57.6600000,57.6600000,10
20210510,185000,57.6200000,57.6200000,57.6200000,57.6200000,10
20210510,191000,57.4600000,57.4600000,57.4600000,57.4600000,40
20210510,194000,57.5700000,57.5700000,57.5700000,57.5700000,30
20210510,201000,57.5600000,57.5600000,57.4200000,57.4200000,100
20210510,205000,57.5600000,57.5600000,57.5600000,57.5600000,30
20210510,211000,57.4000000,57.4000000,57.4000000,57.4000000,10
20210510,212000,57.4500000,57.4500000,57.4500000,57.4500000,95
20210510,213000,57.5600000,57.5600000,57.5600000,57.5600000,52
20210510,214000,57.5000000,57.5000000,57.5000000,57.5000000,95
20210510,215000,57.6600000,57.6600000,57.3600000,57.3600000,19
20210510,225000,57.5900000,57.5900000,57.5900000,57.5900000,30
20210510,230000,57.2700000,57.2700000,57.2700000,57.2700000,23
20210510,231000,57.3300000,57.3300000,57.3300000,57.3300000,1
20210510,233000,57.3300000,57.3300000,57.3300000,57.3300000,1
